epoch,train_loss,val_loss,train_acc,val_acc,learning_rate,epoch_time
0,0.650387476791035,0.5986286815669801,0.6988493150684931,0.8168273444347064,0.0005,4.686110973358154
1,0.567366197392657,0.5276446822616789,0.8154520547945205,0.8751095530236634,0.00048778860081564085,2.748138904571533
2,0.5066050188941555,0.464416977432039,0.8669589041095891,0.9163014899211218,0.0004523497400965494,2.7453970909118652
3,0.45618749394283425,0.4159667467077573,0.9032328767123288,0.9539877300613497,0.00039715242044697206,2.9526100158691406
4,0.42078105678091515,0.37050778915484744,0.9228493150684931,0.9539877300613497,0.0003275997400965494,2.6709723472595215
5,0.3998837341795434,0.35133476224210525,0.9256986301369863,0.9592462751971954,0.0002505,2.6830480098724365
6,0.3803673263613161,0.338743490477403,0.9370958904109589,0.9566170026292725,0.00017340025990345064,2.8350086212158203
7,0.37339364044316165,0.3359863691859775,0.9344657534246575,0.9452234881682734,0.00010384757955302797,2.701284170150757
8,0.36479378913665983,0.32814592371384305,0.9423561643835616,0.9614373356704645,4.865025990345063e-05,3.141145944595337
9,0.3607778536689865,0.3297573783331447,0.939945205479452,0.9645048203330412,1.3211399184359193e-05,2.9116299152374268
10,0.3523684906792807,0.30504532323943245,0.9384109589041096,0.9561787905346187,0.0005,2.848112106323242
11,0.3279645317917937,0.2931390561991268,0.9498082191780822,0.9614373356704645,0.0004969282409784868,2.681370735168457
12,0.31237391616914656,0.27968015687333214,0.9487123287671233,0.9631901840490797,0.00048778860081564085,2.687412977218628
13,0.29744683226922175,0.2751070952249898,0.9558356164383561,0.957931638913234,0.0004728061277849978,2.6845569610595703
14,0.2881239120151613,0.2706631124019623,0.9594520547945206,0.9618755477651183,0.0004523497400965494,2.665034055709839
15,0.2848308084311185,0.2652587220072746,0.9606575342465753,0.9658194566170026,0.0004269231419060436,2.6433677673339844
16,0.2791989209143432,0.2632608670327399,0.9602191780821918,0.9609991235758107,0.00039715242044697206,2.7527270317077637
17,0.27372612861486584,0.2637145043247276,0.9639452054794521,0.9636283961437335,0.00036377062968501693,2.6576290130615234
18,0.26893965201778014,0.2637183811101649,0.966904109589041,0.957931638913234,0.0003275997400965494,3.0072720050811768
19,0.2663239067667848,0.2563585357533561,0.9688767123287672,0.9688869412795793,0.00028953039902753766,2.6599440574645996
20,0.2656276714760107,0.2672368395659659,0.9690958904109589,0.9566170026292725,0.0002505,2.6819381713867188
21,0.26322088364537777,0.27736112020081943,0.9700821917808219,0.9496056091148116,0.00021146960097246246,2.6842949390411377
22,0.2618349318529342,0.25288574604524505,0.9701917808219178,0.9723926380368099,0.00017340025990345064,2.62801194190979
23,0.2602727095355521,0.25084297979871434,0.9706301369863014,0.9732690622261174,0.00013722937031498307,2.7297847270965576
24,0.2587431508761186,0.2485361343456639,0.9723835616438357,0.9758983347940403,0.00010384757955302797,2.6675198078155518
25,0.256503322011941,0.2566501796245575,0.9731506849315068,0.9675723049956179,7.40768580939564e-05,2.7090988159179688
26,0.25466532182026574,0.2536820177402761,0.974027397260274,0.9693251533742331,4.865025990345063e-05,2.693741798400879
27,0.2565981610254808,0.25774477215276825,0.9742465753424657,0.9658194566170026,2.8193872215002235e-05,2.6649022102355957
28,0.2553671341050755,0.25971665274765754,0.9753424657534246,0.9636283961437335,1.3211399184359193e-05,2.723212957382202
29,0.2566986113161474,0.25097234836883014,0.9742465753424657,0.971954425942156,4.071759021513154e-06,2.7091939449310303
30,0.2584884587701384,0.2550124037596915,0.9726027397260274,0.9666958808063103,0.0005,2.671189069747925
31,0.2560033740905615,0.2624558115171062,0.9734794520547945,0.9588080631025416,0.0004992308747664155,2.679593086242676
32,0.25737184254856377,0.2630514299703969,0.9717260273972603,0.962751971954426,0.0004969282409784868,2.6817588806152344
33,0.25544086765576074,0.25445953673786587,0.9726027397260274,0.9671340929009641,0.0004931062951392203,2.663327217102051
34,0.2522488842894147,0.25331944020258057,0.9762191780821918,0.9662576687116564,0.00048778860081564085,2.642441987991333
